p,mean,std
0.0,0.07223635135407556,0.020373715391455043
0.1,0.06494714963823653,0.021814689890655554
0.2,0.05940481462607097,0.020701177715914888
0.30000000000000004,0.0511881719978957,0.021326989112637713
0.4,0.04274868287849919,0.019882994236787705
0.5,0.0379186039498865,0.017835715391287532
0.6000000000000001,0.030775165215517063,0.017089520147491807
0.7000000000000001,0.02360239022359079,0.0149817250232723
0.8,0.017223571958731247,0.012148836191453115
0.9,0.010420207926077254,0.00851015170005511
1.0,0.004309220087320254,0.001366733507675077
